trackName,artistName,genre
"Honest",Nico Collins,
"In The Hall Of The Mountain King" from Peer Gynt Suite NВ°1, Op. 46,1806234,4.0
#BrooklynBloodPop!,SyKo,glitchcore
$10,Good Morning,experimental pop
(I Just) Died In Your Arms,Cutting Crew,album rock
(L)only Child,salem ilese,alt z
(lol),Eren Cannata,guitar case
-Interlude-,NF,
...And to Those I Love, Thanks for Sticking Around,120005,4.0
...Baby One More Time,Britney Spears,dance pop
0 to 100,Sidhu Moose Wala,desi hip hop
01:22,colours in the dark,lo-fi sleep
10,000 Hours (with Justin Bieber),339561,4.0
11:23,mj apanay,bedroom r&b
12 Hours,Chris James,singer-songwriter pop
120,OQTAN,
12:45 - Stripped,Etham,singer-songwriter pop
13 Missed Calls,Zach Hood,alt z
143,Josh Golden,la pop
17 (slowed + reverb),Shiloh Dynasty,lo-fi chill
18,Jeremy Zucker,alt z
1917,Thomas Newman,orchestral soundtrack
1984,glaive,glitchcore
1985,Bo Burnham,comic
1992,Bruises,
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,alternative metal
2 AM,Marco Luka,
2009,glaive,glitchcore
2019,Bazanji,deep underground hip hop
2021,Lauv,pop
2055,Sleepy Hallow,brooklyn drill
20s,Comfort Club,
21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling),271587,3.0
21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor,173732,4.0
21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro,1851813,4.0
22,Taylor Swift,pop
24,sundial,
24 Hours,Alexander Stewart,singer-songwriter pop
24/7,The Neighbourhood,modern alternative rock
26,Lauv,pop
27,Loving Caliber,scandipop
27 Reasons,WILLIS,alabama indie
29,Chris James,singer-songwriter pop
29,Run River North,stomp and holler
2AM,SZA,pop
2chijou,Hiroyuki Sawano,anime score
2lovely,Griff Clawson,
2much,Idkconundrum,
2step,Ed Sheeran,pop
2step (feat. Armaan Malik),Ed Sheeran,pop
2step (feat. Lil Baby),Ed Sheeran,pop
2z Don Corleon,Lil 2z,dfw rap
3 Peg,Sharry Mann,punjabi pop
3,000 Miles From Home.,789074,4.0
30,000 Feet,3158192,4.0
30/90,Andrew Garfield,
3005,Childish Gambino,atl hip hop
3:15,Bazzi,pop
4am,girl in red,alt z
4u,blackbear,pop
5 Taara,Diljit Dosanjh,filmi
5 dollars,Christine and the Queens,art pop
52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style),69198,4.0
52-Hearts,Hikaru Station,japanese vgm
5am in cairo,"oh,531864,4.0
6 Underground,Sneaker Pimps,electronica
608,Carlie Hanson,alt z
6AM,Fly By Midnight,singer-songwriter pop
7 Minutes,Dean Lewis,australian pop
7 Years,Lukas Graham,danish pop
772 Love,YNW Melly,melodic rap
7UP,Boy In Space,alt z
8 Letters,Why Don't We,boy band
85%,Loote,alt z
9 to 5,Young Ejecta,solipsynthm
90210 (feat. G-Eazy),blackbear,pop
90mh,Albanos Xwris Xartia,
90mh,Trefuego,
911,Ellise,alt z
:( (sad face),Bahari,alt z
@ my worst,blackbear,pop
A Better Place,Project AER,ambient guitar
A Dangerous Thing,AURORA,art pop
A Different Way (with Lauv),DJ Snake,edm
A Drug From God,Chris Lake,bass house
A Gift Of A Thistle,James Horner,orchestral soundtrack
A Little Bit Yours,JP Saxe,alt z
A Little Braver,New Empire,
A Little Longer,Sammieforreal,
A Little Messed Up,june,
A Little More,Catie Turner,alt z
A Little Piece of Heaven,Avenged Sevenfold,alternative metal
A Million Dreams,Ziv Zaifman,show tunes
A Million Dreams (Reprise),Austyn Johnson,show tunes
A Moment Apart,ODESZA,chillwave
A New Beginning,Yasumu,lo-fi study
A Night to Remember,High School Musical Cast,post-teen pop
A Night to Remember - Original Version,High School Musical Cast,post-teen pop
A Place Among the Stars,Hans Zimmer,german soundtrack
A Sky Full of Stars,Taron Egerton,hollywood
A Soulmate Who WasnвЂ™t Meant to Be,Jess Benko,gen z singer-songwriter
A wild river to take you home,Black Hill,instrumental post-rock
A+E (feat. Kandaka Moore & Nikki Cislyn),Clean Bandit,pop
A-Punk,Vampire Weekend,baroque pop
A.S.A.G.,Ori Rose,
AFTERLIFE,CYREX,
AGEN WIDA,JOYRYDE,bass house
ALIEN SUPERSTAR,BeyoncГ©,pop
ALIENSPEAK (feat. Curtis Waters),Brevin Kim,
ALL MINE,Brent Faiyaz,r&b
ALLERGIC,clide,singer-songwriter pop
AMAZING,Rex Orange County,bedroom pop
AMNESIA,Hikki Gaya,
AMNESIA (feat. Boy In Space),DREAMDNVR,dark r&b
ANGOSTURA,keshi,chill r&b
ANKLES,Jessie Reyez,canadian contemporary r&b
ANUBIS,KUTE,aggressive phonk
AVOID ME,KUTE,aggressive phonk
AVOID ME 3,KUTE,aggressive phonk
Aaftaab,The Local Train,hindi indie
Aag Lage Chahe Basti Mai,Sirazee,himachali pop
Aahe Neelasaila,Bhikhari Bala,odia bhajan
Aahun Aahun (From "Love Aaj Kal"),Master Saleem,
Aaj Bhi,Vishal Mishra,desi pop
Aaj Bhi (Lofi Flip),It's DPK,
Aaj Bhi - WORMONO LoFi Remake,Vishal Mishra,desi pop
Aaja We Mahiya,Imran Khan,desi hip hop
Aajkal Tere Mere Pyar Ke Charche,Suman Kalyanpur,classic bollywood
Aankh Marey (From "Simmba"),Neha Kakkar,
Aankhein Khuli,Jatin-Lalit,afghan pop
Aap Ki Kashish,Himesh Reshammiya,filmi
Aaron's Aria,Music Circle,
Aasan Nahin Yahan,Arijit Singh,filmi
Aashayein,KK,filmi
Aashayein - Slow Version,KK,filmi
Aashiqui 2 Mashup,Arijit Singh,filmi
Aasman Ke,KK,filmi
Ab Mujhe Raat Din,Sonu Nigam,filmi
Abhi Abhi,KK,filmi
Abhi Mujh Mein Kahin,Ajay-Atul,filmi
Abhi Na Jao Chhod Kar,Asha Bhosle,chutney
Abki Dussehra Me Mana Tu Baat,Uttam Singh,
About Love - From The Netflix Film вЂњTo All The Boys: P.S. I Still Love YouвЂќ,MARINA,metropopolis
Actually I'm Good,Foreign Forest,emo rap
Addict,Lund,cloud rap
Adiyogi (The Source of Yoga),Kailash Kher,filmi
Admiral Benbow,Michiel Schrey,shanty
Admit,Player1,
Adrenaline,Lauv,pop
Adrift,Kurt Stewart,lo-fi study
Adult,Sasha Alex Sloan,alt z
Ae Watan (Male),Arijit Singh,
Affection,Fiji Blue,chill pop
Afghan Jalebi (Film Version),Pritam,filmi
Afraid,The Neighbourhood,modern alternative rock
Afraid of Time,Hans Zimmer,german soundtrack
Africa,TOTO,album rock
After All,Elton John,glam rock
After Midnight,Slushii,brostep
After Rain,Aimer,anime
After the Love Has Gone,"Earth,278002,4.0
Afterglow,Ed Sheeran,pop
Afterglow,Leroy Sanchez,channel pop
Afterlife,Ewan J Phillips,british singer-songwriter
Again,Sasha Alex Sloan,alt z
Again & Again,Fly By Midnight,singer-songwriter pop
Again to Goshintai,RADWIMPS,j-pop
Agar Tum Saath Ho,Alka Yagnik,filmi
Agent Vinod (Theme),Pritam,filmi
Ain't Got Rhythm (Vocal),Phineas,
Air Bnb,Central Cee,melodic drill
Air, BWV 1068 - From Orchestral Suite No.3 In D Major,26583637,4.0
Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop
Ajab Si,KK,filmi
Ajnabi Hawaayein,Shreya Ghoshal,filmi
Akatsuki Theme - From Naruto Shippuden,Gabriele Motta,
Akela Hoon,AMAN,indian lo-fi
Akhiyaan,Mitraz,desi pop
Alfred - Intro,Eminem,detroit hip hop
Alive,Audrey Mika,modern indie pop
Alive,Empire of the Sun,australian dance
Alive,Khalid,pop
Alive,WILLIS,alabama indie
All 4 Nothing (I'm So In Love),Lauv,pop
All About That Bass,Meghan Trainor,hip pop
All Alone,SГёlace,lo-fi chill
All Around Me,Flyleaf,alternative metal
All Around the World (La La La),R3HAB,dutch house
All Because of You,Stephen Day,pop soul
All Black,Raftaar,desi hip hop
All Dressed up (Hot Mix),Jack Newsome,
All Eyes On Me,Conro,canadian electronic
All Eyes On Me,VALORANT,video game music
All Eyes On Me (Song Only),Bo Burnham,comic
All I Ask of You (feat. Pennybirdrabbit),Skrillex,brostep
All I Ever Wanted - Radio Edit,Basshunter,eurodance
All I Have Is My Smile,LIL DUSTY G,emo rap
All I Know So Far,P!nk,dance pop
All I Wanna Do,Jay Park,k-pop
All I Want,Kodaline,irish pop
All In (feat. Jimmy Levy),NITTI,brostep
All Into Nothing,R3HAB,dutch house
All Is Fair in Love and Brostep,Skrillex,brostep
All Is Full Of Love,BjГ¶rk,art pop
All Love,FLETCHER,alt z
All My Life,ODESZA,chillwave
All Night - Cash Cash Remix
All Night - Slowed N Reverb,The Vamps,boy band
All Night Long,Jonas Blue,pop
All The Things She Said,t.A.T.u.,dance pop
All This Time - Timmy Trumpet Remix,Deorro,dutch house
All Time,Kurt Hugo Schneider,viral pop
All Time Low,Jon Bellion,indie pop rap
All We Need (feat. Shy Girls),ODESZA,
All Your Exes,Julia Michaels,pop
All for Me,Hoodie Allen,indie pop rap
All for Me Grog,Linda Morrison,shanty
All of Me,John Legend,neo soul
All of the Stars,Ed Sheeran,pop
Allah Hafiz,Pritam,filmi
Allah Ke Bande,Kailash Kher,
Allah Maaf Kare,Pritam,filmi
Allah Waariyan,Shafqat Amanat Ali,classic pakistani pop
Allegro,Wolfgang Amadeus Mozart,classical
Allure,DaniSogen,japanese chillhop
Almost nothing - "Death Stranding" Ending Song,Silent Poets,japanese dub
Alone,Biting Elbows,
Alone,Lund,cloud rap
Alone,Nico Collins,
Alone (End Credits),Mikko Tarmia,video game music
Alone (Naruto),Kato,anime lo-fi
Alone - Acoustic,Nico Collins,
Alone Piano,Kato,anime lo-fi
Alone With You (feat. AlunaGeorge),Kito,electra
